TWO 12 WIN ['5C', 'AD', '5D', 'AC', '9C'] ['7C', '5H', '8D', 'TD', 'KS']
12 11 WIN ['3H', '7H', '6S', 'KC', 'JS'] ['QH', 'TD', 'JC', '2D', '8S']
ONE ONE WIN ['5H', 'KS', '9C', '7D', '9H'] ['8D', '3S', '5D', '5C', 'AH']
STRAIGHT 13 WIN ['6H', '4H', '5C', '3H', '2H'] ['3S', 'QH', '5S', '6S', 'AS']
ONE 13 WIN ['JC', '6S', '5H', '2H', '2D'] ['KD', '9D', '7C', 'AS', 'JS']
ONE 12 WIN ['2H', '4S', '5C', '5S', 'TC'] ['KC', 'JD', '6C', 'TS', '3C']
13 12 WIN ['QD', 'AS', '6H', 'JS', '2C'] ['3D', '9H', 'KC', '4H', '8S']
TWO 11 WIN ['6S', '8D', '4C', '8S', '6C'] ['QH', 'TC', '6D', '7D', '9D']
11 9 WIN ['3C', 'QS', '2S', '4H', 'JH'] ['3D', '2D', 'TD', '8S', '9H']
13 12 WIN ['6H', 'TD', '9D', 'AS', 'JH'] ['6C', 'QC', '9S', 'KD', 'JC']
13 12 WIN ['KH', '4H', 'AS', 'JS', 'QS'] ['QC', 'TC', '6D', '7C', 'KS']
ONE 12 WIN ['QD', '5H', '4D', '5D', 'KH'] ['7H', '3D', 'JS', 'KD', '4H']
ONE 10 WIN ['2C', '9H', '6H', '5C', '9D'] ['6C', 'JC', '2D', 'TH', '9S']
13 11 WIN ['7D', '6D', 'AS', 'QD', 'JH'] ['4D', 'JS', '7C', 'QS', '5C']
13 9 WIN ['3H', 'KH', 'QD', 'AD', '8C'] ['8H', '3S', 'TH', '9D', '5S']
ONE 10 WIN ['AH', '9S', '4D', '9D', '8S'] ['4H', 'JS', '3C', 'TC', '8D']
ONE 13 WIN ['5C', '7H', '5D', 'KD', '9H'] ['4D', '3D', '2D', 'KS', 'AD']
ONE 13 WIN ['9S', '3H', '9D', 'JD', '5C'] ['4D', '9H', 'AS', 'TC', 'QH']
ONE ONE WIN ['KC', '9C', '7C', 'JC', 'JS'] ['KD', '3H', 'AS', '3C', '7D']
ONE ONE WIN ['3S', 'KS', 'QS', '7H', 'KH'] ['7D', '5H', '5D', 'JD', 'AD']
TWO ONE WIN ['2H', '2C', '6H', 'TH', 'TC'] ['7D', '8D', '4H', '8C', 'AS']
ONE ONE WIN ['5H', 'JH', 'TS', '7S', 'TD'] ['6H', 'AD', 'QD', '8H', '8S']
ONE 13 WIN ['4H', 'KH', 'KS', '9S', '2S'] ['KC', '5S', 'AD', '4S', '7D']
THREE 9 WIN ['AD', '3C', '3D', 'KS', '3S'] ['5C', '9C', '8C', 'TS', '4S']
ONE 13 WIN ['8S', '2H', 'QH', '4D', 'QC'] ['9D', 'KC', 'AS', 'TH', '3C']
THREE 13 WIN ['3D', 'AD', '3C', '3S', '4C'] ['QC', 'AS', '5D', 'TH', '8C']
ONE 8 WIN ['8H', 'JH', 'TC', '3S', '8D'] ['8C', '9S', '2C', '5C', '4D']
12 11 WIN ['2C', '9D', 'KC', 'QH', 'TH'] ['QS', 'JC', '9C', '4H', 'TS']
ONE ONE WIN ['QS', '3C', 'QD', '8H', 'KH'] ['4H', '8D', 'TD', '8S', 'AC']
ONE 12 WIN ['QC', 'TC', 'JD', 'TS', '8C'] ['3H', '6H', 'KD', '7C', 'TD']
ONE 10 WIN ['2H', '4D', 'AH', '2D', 'JH'] ['6H', 'TD', '5D', '4H', 'JD']
12 11 WIN ['KD', '8C', '9S', 'JH', 'QD'] ['JS', '2C', 'QS', '5C', '7C']
TWO 13 WIN ['JC', '6H', '6S', 'JS', '4H'] ['QH', '9H', 'AH', '4C', '3C']
ONE 13 WIN ['8C', '7S', '8S', 'QH', '2S'] ['JD', '5C', '7H', 'AH', 'QD']
ONE ONE WIN ['8S', '3C', '6H', '6C', '2C'] ['8D', 'TD', '7D', '4C', '4D']
