WIN ['5C', 'AD', '5D', 'AC', '9C'] ['7C', '5H', '8D', 'TD', 'KS']
WIN ['3H', '7H', '6S', 'KC', 'JS'] ['QH', 'TD', 'JC', '2D', '8S']
WIN ['5H', 'KS', '9C', '7D', '9H'] ['8D', '3S', '5D', '5C', 'AH']
WIN ['6H', '4H', '5C', '3H', '2H'] ['3S', 'QH', '5S', '6S', 'AS']
WIN ['JC', '6S', '5H', '2H', '2D'] ['KD', '9D', '7C', 'AS', 'JS']
WIN ['2H', '4S', '5C', '5S', 'TC'] ['KC', 'JD', '6C', 'TS', '3C']
WIN ['QD', 'AS', '6H', 'JS', '2C'] ['3D', '9H', 'KC', '4H', '8S']
WIN ['6S', '8D', '4C', '8S', '6C'] ['QH', 'TC', '6D', '7D', '9D']
WIN ['3C', 'QS', '2S', '4H', 'JH'] ['3D', '2D', 'TD', '8S', '9H']
WIN ['6H', 'TD', '9D', 'AS', 'JH'] ['6C', 'QC', '9S', 'KD', 'JC']
WIN ['KH', '4H', 'AS', 'JS', 'QS'] ['QC', 'TC', '6D', '7C', 'KS']
WIN ['QD', '5H', '4D', '5D', 'KH'] ['7H', '3D', 'JS', 'KD', '4H']
WIN ['2C', '9H', '6H', '5C', '9D'] ['6C', 'JC', '2D', 'TH', '9S']
WIN ['7D', '6D', 'AS', 'QD', 'JH'] ['4D', 'JS', '7C', 'QS', '5C']
WIN ['3H', 'KH', 'QD', 'AD', '8C'] ['8H', '3S', 'TH', '9D', '5S']
WIN ['AH', '9S', '4D', '9D', '8S'] ['4H', 'JS', '3C', 'TC', '8D']
WIN ['5C', '7H', '5D', 'KD', '9H'] ['4D', '3D', '2D', 'KS', 'AD']
WIN ['9S', '3H', '9D', 'JD', '5C'] ['4D', '9H', 'AS', 'TC', 'QH']
WIN ['KC', '9C', '7C', 'JC', 'JS'] ['KD', '3H', 'AS', '3C', '7D']
WIN ['3S', 'KS', 'QS', '7H', 'KH'] ['7D', '5H', '5D', 'JD', 'AD']
WIN ['2H', '2C', '6H', 'TH', 'TC'] ['7D', '8D', '4H', '8C', 'AS']
WIN ['5H', 'JH', 'TS', '7S', 'TD'] ['6H', 'AD', 'QD', '8H', '8S']
WIN ['4H', 'KH', 'KS', '9S', '2S'] ['KC', '5S', 'AD', '4S', '7D']
WIN ['AD', '3C', '3D', 'KS', '3S'] ['5C', '9C', '8C', 'TS', '4S']
WIN ['8S', '2H', 'QH', '4D', 'QC'] ['9D', 'KC', 'AS', 'TH', '3C']
